Model,CTMQC,NRep,NuclDt,ElecDt,Norm,Ener,GitCommit
3,Ehrenfest,1,0.5,0.05,-9.4e-10,0.00012,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,Ehrenfest,1,0.5,0.05,-9.4e-10,0.00012,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,20,0.5,0.05,0.0074,0.078,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,40,0.5,0.05,0.0085,0.1,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,60,0.5,0.05,0.0097,0.1,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,80,0.5,0.05,0.0061,0.16,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,120,0.5,0.05,0.0069,0.14,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,150,0.5,0.05,0.006,0.16,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,180,0.5,0.05,0.0084,0.12,91a3f384c1ff296dab28d68d674f2a4b6797d286
3,CTMQC,200,0.5,0.05,0.0056,0.19,91a3f384c1ff296dab28d68d674f2a4b6797d286
